EventDescription,FailedAssets,CauseTechnical,Category
"A customer called the CitiPower report room advising of a loss of supply.
On attendance the CitiPower faults crew found the substation doors with significant damage, the HV RMU in the open position and the copper from the building supply on the LV board removed from the white and blue phases. 
No thieves found on site. 
Police were called.
No shock, no injuries, no third party damage.",Indoor,,Other
"Vic-fire report fire under pole at incident location, caused by HV Fuse unit.
On arrival crew found a burnt grass patch which had been caused by a crow which had flashed over on the center phase HV fuse unit. 
There was no reported injuries.",EDO fuse,,Animal
"A contractor reported that he has dug up an UG service cable at the incident location.
Upon arrival, the Powercor crew found that the UG cable from a pole to pit had been damaged while the contractor was  upgrading the driveway crossing.
There was no fire, no reported injuries.",Services cable,,Dug up
"Customer reported a transformer fire and CFA in attendance at incident site. 
When crews arrived they found a HV Boric Acid fuse had ""hung up.
This resulted in a small grass fire (40m x 2m) along the road reserve that was extinguished by the CFA. 
No injuries or property damage reported",Boric acid,Fuse failed to eject,Fuse
"PCA Faults Crew attended a fault call have advised that a burnt out Blue Phase Cu to Al D-Loop connection at incident location has overheated and caused sparks to fall onto the dry grassed area below.
This has caused a small grass fire near the base of the pole.
There was no reported injury or shocks as a result of this incident.",Connector/termination;Dropper/bridge,Overheated connection,Connection
"Vicfire reported pole fire at incident location.
On arrival the crew found that the pole mounted junction box had overheated and melted, 
Debris from this had fallen to ground and started a ground fire approximately 3m by 50m. 
 Superficial damage to fencing posts.
There was no reported injuries.",Connection box,Unknown technical factor,Connection
Report of small fire (approx. 4 sq m) at base of pole.,Surge diverter,Defective component,AF Other
E0012577 - Report of small ground fire (2mx2.5m) resulting from tree branch contacting O/H LV conductors,Conductor (bare);Connector/termination,,Trees
E0012619 - Report of pole fire and subsequent ground fire from a suspected transformer conductor lead failed,Dropper/bridge,Electrical overload,AF Other
E0012682 - Report of fire at base of pole,Disconnector/isolator;Dropper/bridge,Defective component,AF Other
The customer was showering when she received an electric shock whilst making simultaneous contact between her wet hands on the shower taps and the wet shower base.,Service conductor,Age;Corrosion;Neutral fault,Connection
"A report was received that bird has flashed over the HV EDO unit at the pole at the incident location.
The bird fell to ground on fire and ignited a ground fire near the pole 20m by 60m ((1200m2).
Fire extinguished by the CFA.
There was no report of injury or third party property damage.",EDO fuse;Pole mounted,,Animal
Unknown persons stole underground service cable supplying street lights,Cable,,Other
"A member of the public emailed Powercor to report a damaged pit in Bullmans Rd.
On arrival the crew found that several underground cable pits were open at the incident location with live cables exposed, and approx. 200m of LV UG cable had been stolen. 
There were no reported injuries or fires.",Services cable,,Other
"At 6.03PM on 02/03/2019, 11kV feeder M35 circuit breaker successfully reclosed and held but customers reported dim lights. 
At 6.19PM, M35 circuit breaker reclosed to lockout with reports of wires down and a grass fire on the corner of Como Parade West and Warrigal Road. 

It appears a pole fire occurred at a HV intermediate cross arm on pole No. LIS 1809079 located outside 112 Warrigal Road.  There appears to have been probable HV conductor clashing with fault current causing wires down at 5 locations in the vicinity following connection failures as follows: 
1.  Two poles south of HV switch CH7904 (Molten metal caused a 1sqm grass fire at this location) 
2. CHP in Palermo Street ex CH4272
3. CH0713 in Napels Road, 3 leads have blown off the switch
4. CH7952 in Warrigal Road on the south side 
5. Como Parade West at CHP ex CH0546",Conductor (bare);Crossarm (wood);Dropper/bridge,Leakage,AF Other
"At 2.28AM on 04/03/2019, 66kV feeder MTN-DMA successfully reclosed and held. 
A short time afterwards at 3.18AM, the CFA reported a grass fire in Old Moorooduc Road near Nepean Highway that has affected a pole in the vicinity.  
In summary, it appears the bark initially contacted the 66kV conductors and possible sparks have fallen and ignited the dry grass at the base of the pole causing a 30 x 40m grass fire.  When the HV Operator attended, the bark was found resting on the centre phase 22kV conductor and in contact with the steel crossarm.  The 66kV and 22kV conductors are on the same pole.",Conductor (bare);Pole mounted,,Trees
"Report received of copper theft at incident location.
There was no fire, no reported injuries.",Services cable;Services pit,,Other
"Customer reports copper wiring from pit to pole stolen (wasn't connected as new build). No exposed wires.""  No fire or reported injuries.",Services cable,,Other
22kV cable failed half way up the pole resulting in a pole fire. No evidence of ground fire and no damage to private assets.,Cable,Defective component;Electrical breakdown,Conductor
"At 1.04AM on 05/03/2019, 66kV feeder DMW-RBD No. 2 circuit breaker successfully reclosed and held.  At the same time, 22kV feeder DMA 21 circuit breaker reclosed to lockout.  This event resulted in 3,034 customers off supply for an average of 71 minutes.
The initial cause appears to have been a connection failure that caused conductor clashing and HV conductors to fall at the corner of Heales Street and Point Nepean Road, Dromana.  A HVI was suspected to customers connected to the north circuit of ""Verdon-Nepean"" substation.  The conductor clash occurred at pole No. LIS 8825277 near the corner of Peninsula Link and Seacombe Street that resulted in 66kV feeder DMA-RBD No. 2 to successfully reclose and hold.  It was suspected that sparking occurred that ignited dry grass below and a 15sqm fire to start.",Conductor (bare);Dropper/bridge,Conductor clashing;Overheated connection,Conductor
Unknown person(s) stole public lighting underground cable.,Cable,,Other
"Calls received from residents to report an outage in the area, with wires down and grass fire in Biggs St, St Albans. 
Upon arrival the fault crew found that a  HV ABC had broken mid span and come to ground on the nature strip below, resulting in a grass fire on the nature strip as well as the grass within the front yard of unit 1 of 216 Biggs St.
There was no reported injuries.",Conductor (ABC),Mechanical vibration;Leakage,OH Cable
"E0013787 - report of tree branch falling into and bringing conductors to ground resulting in ground fire. Evidence of fire in 2 areas - Midspan (2x5m), and around the pole & stay wire (2 x 10m).",Conductor (bare),,Trees
"Report received of main wire down on naturestrip, with loss of supply. On attendance, fault crew found bare LV conductor had broken off at one pole end and was live on the ground.",Conductor (bare),Mechanical breakdown;Unknown technical factor,Conductor
"Bird flashed over on Yatchaw Rd P27E S/Stn, it came to ground and resulted in a ground fire in the road reserve of approximately 20 M X 100 M.",EDO fuse,,Animal
E0015065 - Fault crew attended to investigate power outage and found vehicle had hit paralleling pillar resulting in a small grass fire of less than 0.25sqm in area in vicinity.,LV Pillar,,Vehicle
"Vic fire reported a pole fire at the incident location.  
On arrival the crew found that a connection on to LV ABC conductors had burnt at the pole . Small pieces of debris had landed on the ground below. 

There were no reported injuries or third party damage.",Conductor (ABC),Corrosion;Overheated connection,Connection
Electrician reported damage to Powercor assets as a result of copper theft of Vic Roads assets. On Arrival crew identified damage to the LV FSD on the pole and customer consumer mains were missing. Crew isolated substation and raised fault follow up.,Services cable;Connection box;Customer installation,,Other
damage to street light and telstra junction box following possum contacting O/H HV and LV assets resulting in flashover. No damage to customer installations or other assets,Communication cable/equipment;Connection box;Public lighting,,Animal
"Report received that  pit outside 49 Bent St, Altona has been vandalised.
Upon arrival the PCA Field Crew have advised, that an unknown person has removed the recently installed pit lid, from the LV Service Pit at  and have vandalized and have cut through and attempted to steal the LV Service Cable.
There was no reported ground fire, third party damage, injury or shocks as a result of this incident.",Services cable;Services pit,,Other
Copper theft underground LV cable,Cable,,Other
"MFB reported  fire  in the vicinity of Cnr King and Gordon St Balwyn.
Attending crews  found high winds caused tree limb to fall across hv and lv near pole 863057
HVI damage was identified.
An overheated connection was also found on pole 14139 , with a small fire also being reported at the base of this pole.",Conductor (bare),,Trees
"Powercor received a report of outage . Upon arrival, the crew found that the SWER line conductor had been brought to ground by a large plantation tree that had fallen . There was no fire or other damage found.",Conductor (bare),,Trees
E0014035 - report of candled HV fuse,Boric acid,Candled fuse,Fuse
E0016292 - 66KV pole on WOTS-HPS line struck by lightning. Crew responded to find two broken insulators and a small fire that had already been extinguished by rain.,Insulators,,Lightning
"During high winds, UE received report of pole fire. No loss of supply occurred.",Pole (wood);Crossarm (wood),Leakage,Crossarm
Vicfire reported wire down and a grass fire at the incident location. Crew found a tree had fallen and damaged a bare overhead conductor.,Conductor (bare),,Trees
"Vicfire advised tree brought down power line.. Attending crew found willow had broken in high winds , contacted and brought down conductor",Conductor (bare);Crossarm (wood),,Trees
"A customer reported a power outage at the incident location. 
Upon arrival, a Powercor crew found that the UG  service and pit had been vandalised. The service cable  approx. 100m was missing.
The customer cable also damaged so a defect notice issued.
There was no fire or reported injuries.",Services cable;Services pit,,Other
"Report of public lights not working at incident location. 
Crew found underground cables missing on both sides of Exford Rd.
There was no fire, no reported injuries or third party property damage.",Services cable,,Other
E0018047 - report of HV crossarm fire.,Crossarm (wood);Insulators,Defective component,AF Other
"E0018410 - A council owned poplar tree in a declared area (council responsibility) suffered total root plate failure and has brought multiple spans of conductor to the ground. Poplar tree has failed at ground level, at base of tree and taken down a span of HV. This has caused other spans to fail. There was a small fire on the nature strip approx. 2m sq around transformer pole 5209208.",Conductor (bare),,Trees
person received an electric shock from a Water Urn when he made simultaneous contact with his hand on the metal casing of the Water Urn and his bare feet whilst standing on the ground.,Aluminium twisted (grey),Corrosion,Connection
"Contractor advises pits along Derrimut Road have been tampered with cables exposed.
Cables stolen from multiple pits on Derrimut Road between Rebecca Promenade to Sayers Road along service lane. 
Pits exposed.
There was no fire or reported injuries",Services cable;Services pit,,Other
"customer believes his Staff and Dairy Cows were experiencing electric shocks that were coming through the ground when in close proximity to an adjacent 220,000 Volt Transmission Line on his property.",Customer installation,nil;Other,Installation
"Passer by reported electrical hazard at the incident address. 
Upon arrival fault crew found that unknown person/s stole 50M of 4 core 16mm copper wire from public lighting circuit between pole LIS 845162 & 845163.
It is believed that a vehicle was used to pull the cable out from the conduit, one end had been cut adjacent to LIS 845162.
No injuries or fires resulted from the actions of the thieves.",Services cable,,Other
Copper theft of service cable supplying street lights,Services cable,,Other
"Vicfire advised of grass fire caused by a large plantation gum tree falling across conductors.
On arrival crew found that  a large gum tree had fallen across SWER  conductors causing a grass fire
There was no reported injuries",Conductor (bare),,Trees
"HV pole no. A007431 cut down by chainsaw and pole-mounted transformer stolen
HV fuses operated and 1 customer lost supply",Pole (wood);Steel;Pole mounted,,Other
"Vicfire reported lines down, grass fire caused by lines down, wires sparking at incident location. 
Crew found a broken xarm and a broken conductor 
There was a  ground fire of 2 x 30m2,, no injuries, no property damage.",Conductor (bare);Crossarm (wood),Defective component,Crossarm
"Powercor received a report from Vic FIre of an explosion and pole on fire in Pakington St.
When crews arrived they found a possum had shorted across the HV switch. 
This resulted in some grass igniting on the pole which had  grown up the pole along the earth cable and behind the possum guard approx. 1.5m above ground level.
This was also the location of the end of the HV switch handle and it appears that an arc had occurred been the switch handle and possum guard. 
There was no ground fire, no reported injuries or third party property damage.",Pole (wood);Disconnector/isolator,,Animal
"Customer at this address is renovating his house, while carrying a large piece of timber he has contacted the low voltage service which was then detached from the POA and fell onto the nature strip
There was no fire. no reported injuries.",Service conductor,,Other
"Customers reported a power outage at the incident location . 
Upon arrival the crew found that a HV conductor on an intermediate pole fell on to below LV neutral.
HVI reported in the area and the damages are being investigated. 
There was no fire, no reported injuries.",Conductor (bare);Insulator tie wires/connections,Mechanical vibration,Conductor
"A bird caused a fault on high voltage conductors in Dorchester Street corner Watford Crescent (Craigieburn), causing the HV tie to burn off.  ACR 12417 Craigieburn Road successfully reclosed twice. 
Burning fragments from the electrical explosion ignited a small grassfire on the opposite side of the road (Watford Crescent).
A crow was found at the base of pole footpath, HV tie was broken and HV conductor came off insulator and was resting on crossarm.
Photos are attached in the ""Notes & Findings"" section.",Dropper/bridge,,Animal
"A crew investigating an outage found that an unknown vehicle had contacted a communications cable above Water St, 
The force of the impact caused the communications cable to contact the overhead LV conductors. 
This resulted in hot debris falling to the ground, starting a small grass fire.
There was no reported injuries or third party property damage.",Conductor (bare),,Vehicle
"Report received of a pole fire at incident location.
On arrival crew found a crossarm with the end burnt off .
There was no ground fire, no reported injuries or third party property damage.",Crossarm (wood),Leakage,Crossarm
E0018665 - Customer's REC reported plumber reported shock from water pipe at customer's premises.,Neutral screen,Defective component,Other
E0018698 - fire reported at base of pole,Connector/termination,Defective component,Connection
Customer reported hearing a loud noise in his paddock and noticed a small grass fire between poles 19 and 20 (LIS2005307).,Conductor (bare);Boric acid;No failed asset,Unknown technical factor,Animal
REC received a shock when assisting to locate a buried pit and conduit. works were to isolate a streetlight supply from a pit so a unmetered supply could be installed for cctv camera. While excavating around the pit to locate the conduit to the pole the REC reached down to clean out some dirt with his hands and received a shock.,Services cable;Services pit,,Other
"A customer called concerned about a tree branch that had fallen onto the High Voltage conductors and started a fire.   On arrival the crew found that a tree branch had fallen and contacted the HV conductors and then onto the ground.
This caused a ground fire of approx.  750m2. 
The  CFA did not notify Powercor of the fire at the time of their attendance. 
There were no reported injuries.",Conductor (bare),,Trees
E0018956 - report of tree contacting O/H HV conductors resulting in HVI,Conductor (bare),,Trees
"Copper theft reported at various locations along Mount Atkinson Road, Truganina;
Patrolling crew found vandalism and theft at following:
Stolen copper [pole to pit] and LV leads from tranny to fuse box at lis LIS948948,
Stolen pole to pit, LV u/g cable at LIS 948950.
Stolen copper at LIS 987513, LV leads from Transformer made safe .
There was no fire, no reported injuries.",Services cable;Services pit,,Other
"Employee report of exposed live wires at public lighting columns on the Calder Hwy at the Trio Rd off-ramp.  On arrival, crew found that 2 pits had been opened up and cables had been cut and attempted to be removed.  The cables had been isolated in the attempt to remove the copper.  One of the pit lids had been broken.
There was no fire or reported injuries.",Services cable;Services pit,,Other
"Theft of cable from pits/public lighting poles.  No reported injuries or fire.
Adrian (Maintenance Manager at school) reported there are 3 pits at the front of the school along Brooklyn Road that are open with exposed wiring, he believes some theft may have occurred.
At least 6 pit lids have been taken off between Cahill drive and Coburns Rd along Brooklyn Rd. The wires have been pulled out and are exposed",Services cable,,Other
"Powercor crew report low voltage underground cable thefts between Balcombe Drive and Dalrymple Boulevard, Manor Lakes.
Estimated 300meters + of cable stolen.
There was no fire, no reported injuries or third party property damage.",Services cable;Services pit,,Other
"pole fire reported at the incident location. Upon arrival, that the crew found HV cross arm bunt through. 
There were no injuries or ground fire.
 HVI reported.",Crossarm (wood),Leakage,Crossarm
A report was received of a HV cross arm requiring urgent replacement. The cross-arm had deteriorated at the bracing bolt due to constant tracking.,Crossarm (wood),Mechanical breakdown,Crossarm
"A UE service crew attended site for a service connection and found the meter had been tampered with and damaged. The meter had been pulled off panel as well as lower terminal cover broken off at fixing screw, neutral link cover on this panel had also been removed.",Smart meter,,Other
ref tbl# 179810 - Customer reported pit lids removed and exposed cables. Crew arrived to find copper theft in area and affected street lights,Cable;Services pit,,Other
Vic Fire reported a pole fire at the incident location. A fault crew found that the cross arm burnt through and fallen debris caused a ground fire approx. 7*100 Sqm area.,Crossarm (wood),Leakage,Crossarm
E0019058 - report of live HV conductor on the ground,Conductor (bare),Mechanical breakdown,Conductor
"Customer reported transformer made loud bang and blowing smoke. On attendance, fault crew found CFA had extinguished a small grass fire at the base of the pole.",Pole mounted,Electrical breakdown,AF Other
Brenda was showering at the time; she received an electric shock when she made simultaneous contact between the metallic shower tap with her hand and the metallic shower grate with her foot.,Service conductor,Corrosion,Connection
CitiPower officer attending site  to assess conditions for a permit to work found scaffolding had been erected in vicinity of service line prior to covering or permit to work issue.,Service conductor;Aluminium twisted (grey),,Other
M&S crew  attended appointment and found the REC had already removed the fuse and meterbox so that he could replace the meterbox. A signed CES was onsite. The REC was also onsite doing other work.,Meter board (including fuses),,Other
"Customer reported a pole fire at the incident location.
Upon arrival the fault crew found that a 3 phase intermediate substation pole had a pole fire which burnt the intermediate crossarm.
There was no ground fire, no reported injuries or third party property damage.",Crossarm (wood),Leakage,Pole
"Vicfire report pole fire near the incident location.
Upon arrival fault crew found a pole fire had occurred, the pole had burnt internally.
There was no ground fire, no reported injuries or third party property damage.",Pole (wood),Leakage,Pole
"Crew were requested to investigate issues with public lights at the incident sites (X8).
On arrival the crew found that vandals / thieves had removed the covers from a number of public lighting pits and vandalized the contents. 
Connectors and had been removed from the affected pits. No copper was stolen. 
There was no fire, no reported injuries or third party property damage.",Services cable;Services pit,,Other
"Customer phoned in to advise that the pit in front of their premise has been pulled out of the ground and vandalised. 
The cable between the pit and the krone switch on the pole had been ripped out of the ground causing damage to the krone switch.  
There was no fire, no reported injuries or third party property damage.",Services cable;Services pit,,Other
"Joel Guy, System Operation Planner Operator advised of Intruder Alarms in Zone Sub AL.
On arrival the Operator advised that unknown people have forced open and broken into AL ZSS
Operator advised that possible copper wire may have been stolen. 
There was no fire, no reported injuries",Zone substation,,Other
"HV and LV bare OH conductors down in various places along Wiora road.
High Voltage Injection confirmed on white and red phases (south circuit of WIORA-DOUGHARTY substation).",Conductor (bare),,Conductor
"Powercor employee reported copper stolen from up to 10 pits at the incident locations.
There was no fire, no reported injuries or third party property damage.",Services cable;Services pit,,Other
"Cathy Binos of (Rattray Group) advised damage to steel shroud on pole outside this property.
Crew on site found damaged  cable shroud, cabling between the pole krone switch and low voltage pit had been stolen.
There was no fire, no reported injuries.",Services cable,,Other
"Tramway worker completing maintenance works on a tramway pole, reported receiving a shock to the back of his hand whilst adjusting the trolley cables and made contact with Jemena's service conductor.
The service conductor electrical tape insulation was found to be spliced and deteriorated. 
Email correspondence with David Clarke of ESV has been attached in the ""Notes and Findings"" section
Please also note that:
This incident was assessed against Jemena's incident investigation procedure and did not warrant a formal investigation report.
If ESV has further concerns, Jemena would be happy to discuss these face to face instead of via email.",Service conductor,Age,OH Cable
"Report received from an REC working for Wyndham City Council that a meter had been stolen and switchboard gutted with live mains exposed inside the brick enclosure.
There was no fire, no reported injuries.",Meter board (including fuses),,Other
"Following a report of no supply at 121 murray rd rockbank a crew found significant road reconstruction work at incident location.
A number of pole substations had their earthing systems interfered with.
A number of disconnected underground services had been disturbed.
There was no fire and no reported injuries.",Services cable;Earth/earthing,,Dug up
"Customer reported someone had cut service at incident location. Crew found customers underground service cable had been disconnected in service pit and an attempt had been made to remove customers cable using chains and vehicle but cable remained in place with chain connected, they were possibly disturbed in the attempt to remove cable.
There was no fire, no reported injuries",Services cable;Services pit,,Other
E0005264 - report of tree fire following contact with HV conductor,Conductor (bare),,Trees
3rd Party Contractor installing customers conduit hit and damaged HV conduit and HV Cable outer sheath insulation.,Cable,,Dug up
"A third party, Fulton Hogan, advised the CitiPower Report Room that they had cut through a live underground public lighting cable. 
When the CitiPower faults crew arrived they found a damaged and exposed lv public lighting cables.
There was no fire, no reported injuries or third party property damage",Cable,,Dug up
"A customer informed a loud bang at the incident location.
On arrival, the Powercor crew found that a broken LV conductor sitting on concrete pumping truck.
There was no fire, no reported injuries.",Conductor (bare),,Vehicle
Unknown person has stolen underground cable,Cable,,Other
"Sam from Yarra Valley Excavations called to report that he had dug up an LV cable at the incident location. 
On arrival the crew found that contractors installing light poles had inadvertently dug up a 3 core 16mm LV UG service cable, which didn't appear on their 'Dial before you dig' plans.
 There were no injuries, fires or third party damage.",Services cable,,Dug up
Customer reports receiving an electric shock when she reached into her bath (full of water) and also when she touched the bath and shower taps.,Service conductor,Moisture ingress;Corrosion,OH Cable
"David Williams, employee from NBN, reported no power supply on their COMMS cabinet located at the corner of Featherbrook drive and Hacketts road, Point cook.
On arrival the Crew found that 4 service pits had been interfered with. 
The lights on the 3 poles were not operating.
There was minor damage to a service pit and a conduit.
There was no fire, no reported injuries.",Services cable,,Other
"Powercor received reports  that thieves have stolen the earthing from the substation pole and ripped the low voltage underground service out of the ground between the pole and customer's pit. 
A hammer was left on site near the pole. Melton Police have taken it for fingerprinting. 
There was no fire and no reports of injury.",Services cable,,Other
"Person was attempting to unlock the installation Group Meter Panel located in the driveway opposite his Unit, when he received an electric shock as he made simultaneous contact with his hands while standing on the wet ground.",Any other type,Corrosion;Neutral fault,Connection
"A CFA inspector reported that at an  unknown date it appears a bird flashed over on concrete pole substation at the incident location.
The bird fell to ground igniting road side grass.
There was no reported injuries or third party property damage.",Conductor (bare),,Animal
"The site Manager Sam advised Powercor that an excavator had dug up and exposed a live mains cable at Sunshine College. 
On arrival the fault crew found that the 240mm LV UG cable between the pole and the customer's pillar, had been struck by the excavator and sustained damage to the White & Blue phases, resulting in the White & Blue fuses blown in the Krone box. 
There were no reported injuries or fire.",Services cable,,Dug up
"A customer and contractor reported UG dug up at the incident location. 
Upon arrival, the crew found that the LV UG cable had been damaged by the contractor while they were using bore machine.  
There was no fire or reported injuries.",Cable,,Dug up
E0004855 - report of street light head fire,Public lighting,Defective component,AF Other
E0005715 -  reported fuse candling. No evidence of ground fire,Boric acid,Candled fuse,Fuse
E0005799 - reported candling HV fuse,EDO fuse,Candled fuse,Fuse
Communications contractor for a Telco exposed and cut into HV underground cable causing the cable to fault.  The person's hands were believed to be exposed to electrical flash and he attended hospital for a precautionary medical check.,Cable,,Dug up
"Vic Fire Reports small grass fire caused by sparks from pole at incident location.
On arrival crew found small ground fire caused by a burn out porcelain fuse box.
There was no injuries or third party property damage.",Connection box,Corrosion,Connection
"At 0142hrs on 29/11/2018, 22kV feeder MC 09 and circuit breaker reclosed to lockout.  At the same time, MGE 32 circuit breaker successfully reclosed and held.

During light misty rain, a pole fire occurred at pole No. LIS 1806824 located outside 24 De Havilland Road at the HV isolators (OA4083) which is the normal open point between 22kv feeders MC 06 and MC 09.  The HV cross arm broke and a HV conductor was in close proximity to the LV conductors and the faults crew requested that a LEI attend as a HVI was suspected.  The LEI tested properties in the vicinity and confirmed that a HVI did not occur.",Conductor (bare);Crossarm (wood),Leakage,Pole
Aged ABC clamp burnt off resulted in loss of supply.,Conductor (insulated),Age,AF Other
"ESV reported a tractor hit pole causing wire to come down at incident location. 
Crew found that a tractor towing orchard spraying equipment had knocked down a wooden SWER pole
There was no fire, no reported injuries or third party property damage.",Pole (wood),,Vehicle
Plumber  was removing the Water Meter at the property when he received an electric shock as he made simultaneous contact between his hand on the metallic Water Meter and his knees while kneeling on the wet ground.,Service conductor;Neutral screen,Corrosion,Connection
Plumber was repairing a leaking galvanised Water Pipe under the house when he received an electric shock as he made simultaneous contact between his hand on the metallic Water Pipe and his body while lying on the wet ground.,Service conductor;Neutral screen,Corrosion,Connection
"Vic Fire reported a small grass fire at the incident location.
On arrival the fault crew found that an EDO had ""hung Up"" dropping hot material to the ground, igniting a grass fire approx. 6m x 25m in area
There were no reported injuries.",EDO fuse,Fuse failed to eject,Fuse
"The CitiPower Control Room identified a fault on HV feeder BC013. Additionally, customers in Closeburn Ave, Prahran called in with no supply and damaged appliances.
On arrival crew found conductor on the ground.
The fallen conductor had made contact with the LV circuit below resulting in up to 10 HVI incidents being reported.
There was no fire and no reported injuries",Conductor (bare),,Lightning
"A pelican made contact with HV overhead conductors at incident location.
one phase broke and fell to ground.
protection operated as expected.
There was no fire, no reported injuries or third party property damage.",Conductor (bare),,Animal
"Interference with Powercor asset (In the vicinity of Sparrow 2 LIS number 408332) , asset/s accessed by third party to undertake inspection activities without permission.",Pole (wood),,Other
Plumber and electrician reported sparks on the roof while doing repairs. No worker reported an electric shock.,Service conductor,Corrosion,OH Cable
"Michael received an electric shock yesterday at noon when he touched the water tap in the kitchen.
Voltage tests between an independent earth and various parts of the electrical installation, including the tap and distribution assets, identified loose split bolt clamp at reticulation pole of the neutral conductor.
This condition caused current to flow through the installation MEN connection, main earthing conductor, water pipe earth bond conductor and metallic pipes, this increased impedance to the flow of the installation return current through the general mass of earth and the metallic water pipe system was sufficient to cause a voltage rise of 7.9 V on the water piping system.",Service conductor,Age;Mechanical breakdown,AF Other
report of candled EDO fuse,EDO fuse,Candled fuse,Fuse
E0006943 - report of hung up EDO fuse,EDO fuse,Fuse failed to eject,Fuse
Stolen underground cable for street lights,Cable,,Other
"Pole fire reported at pole No. LIS 1108044 located in Frankston-Flinders Road, Tyabb near the corner of Delepan Drive. 

A 22kV polymeric insulator failed that caused tracking to the LV tee-off cross arm with approximately 75mm of timber burnt away.",Pole (wood);Crossarm (wood),Leakage,Pole
"Customer reported fire at 116 Verney North road, Congupna.
Upon arrival the fault crew found that a bird had flashed over substation pole P30 SHTS-NKA #1.
The bird fell to ground igniting a grass fire of approximately 10M x 50M in area,
CFA attended and extinguished the ground fire. 
There were no reported injuries, minor fence post damage.",Pole mounted,,Animal
"Caller reports fire at the POA. 

A SECV installed junction box at the POA caught on fire due to a probable loose connection that subsequently damaged the customers fascia board.  In addition, there was some smoke damage to the installation but no wiring damage.",Connection box,Overheated connection,Connection
"A contractor working for Telstra contacted an underground service cable at the incident location.
The conduit was fractured.
There was no fire, no reported injuries or third party property damage.",Services cable,,Dug up
"A member of the public reported exposed wires at the bases of three lighting poles.
on arrival crew reported there had been an attempt to steal underground service cables.
There was no fire, no reported injuries or third party property damage.",Services cable,,Other
"During lightning storm lightning struck pole 127 Borung line.
The resultant lighting strike fractured the HV crossarm allowing conductor to rest suspended just above ground in a
de-energised state.
There was no fire, no reported injuries or third party property damage.",Conductor (bare);Crossarm (wood),,Lightning
"Several patrons at the Caravan Park reported receiving an electric shock at the time of showering as they made simultaneous contact between their hands on the metallic taps and their bare feet while standing on the wet concrete shower base. Additionally, several patrons also reported receiving an electric shock when operating an external tap as they made simultaneous contact between their hands on the metallic tap and their bare feet while standing on the wet ground",Dropper/bridge,Corrosion,Connection
"VicFire called the CitiPower Report Room to advise of a pole fire at 10 Scotsburn St, Hawthorn.
On arrival the CitiPower overhead faults crew found an FOLCB and LV cable to 10 Scotburn St, Hawthorn to have heat damage causing it to fall to the ground. 
The crew observe charring marks on the ground of approx. 1sqm. 
There was no reported injuries or third party property damage.",Connection box,Overheated connection,Connection
The customer was having a shower at the time received an electric shock when he simultaneously contacted the metallic water tap with his hands whilst standing in the shower.,Service conductor,Corrosion,OH Cable
"The CitiPower Report Room was advised that a third party had made contact with an underground cable in the laneway behind 459 Lonsdale St, Melbourne.
 On arrival the CitiPower faults crew found a Plumbing Contractor has made contact with and pierced a Low Voltage cable with a screw driver. 
There was no fire, no injuries sustained or third party property damage.",Cable,,Other
"Vic Fire reported conductors down and grass fire.
On arrival crew found a SWER conductor had fallen to ground starting a small grass fire,
There was no reported injuries",Conductor (bare);Insulators,Insulator,AF Other
"Person was in the bathroom showering when she received an electric shock as she made simultaneous contact between her hand on the metallic shower rose and her bare feet while standing on the wet shower base.

Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, identified that the neutral termination of the aluminum service cables was burnt out in the customer FMJB.",Service conductor,Overheated connection,Connection
"person was standing in front of the Meter Enclosure checking the Switchboard when she received an electric shock as she made simultaneous contact between her hand on the metal Meter Enclosure and her bare feet while standing on the damp concrete ground.

Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, identified a Corroded Neutral Screened Conductor of an O/H Neutral Screened Service Cable between the Service Pole and the Customer’s FOLCB",Service conductor,Corrosion,OH Cable
Customer was washing clothes in the laundry and felt tingles from the tap.,Service conductor;Aluminium twisted (XLPE);Connection box,Corrosion,Connection
"A crow caused a flashover at a Lightning Arrestor on a gas switch pole and this resulted in a small grass fire of 5m² at the base of the pole.
There was no reported injuries or third party property damage.",Any other type;Surge diverter,,Animal
"During routine maintenance, a call was recieved to report the theft of approx. 3m of HV earth from pole from incident location.
There was no fire, no reported injuries or third party property damage.",Earth/earthing,,Other
E0007026 - report of candling fuse,EDO fuse,Candled fuse,Fuse
E0007156 - Report of candled fuse,Boric acid,Defective component,Animal
Fire at base of pole,Conductor (bare),,Animal
"During  a patrol of assets after a feeder operation the remains of a crossarm fire was found at the incident location.
there was no ground fire, no reported injuries or third party property damage",Crossarm (wood),Leakage,Crossarm
"Customer reported following lightning strike pole caught fire.
There was no ground fire, no reported injuries or third party property damage",EDO fuse,Fuse failed to eject,Lightning
report of junction box fire on pole,Connection box,Defective component,Connection
A pad mount transformer door had been forced open.,Pad mounted equipment/kiosk,,Other
Private tree from customers property at 48 Larne Avenue fell into HV/LV conductors pushing the HV into the open point at cnr of Larne Avenue and White lodge Court. The HV fell into the red phase LV on the Larne side and fell into the white phase on the White Lodge side. Both sides of the open point sustained HVI damage.,Conductor (bare),,Trees
"VicFire reported transformer on fire at big 4 holiday park, at incident location.
On arrival crew found the centre phase HV dropper had overheated.
There was no fire, no reported injuries or third party property damage.",Dropper/bridge,Overheated connection,Connection
